Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
"""",2.நெரிந்து,,,,தமிழ்,-,கருப்புப் பிரதிகள்,2023,கவிதை,-,80,-,paperback
"""",3.நவகண்டம்,,,,தமிழ்,-,கருப்புப் பிரதிகள்,2021,கவிதை,-,60,-,paperback
"""",4.அண்ணல் அம்பேத்கர்: அவதூறுகளும் உண்மைகளும்,,,,தமிழ்,344,கருப்புப் பிரதிகள்,2018,கட்டுரை,தலித்தியம்,300,-,paperback
"""",5.உள்ஒதுக்கீடு: சில பார்வைகள்,,,,தமிழ்,87,கருப்புப் பிரதிகள்,2016,கட்டுரை,"சமூக நீதி,தலித்தியம்",80,-,paperback
"""",6.ஏதிலியைத் தொடர்ந்து வரும் நிலா,,,,தமிழ்,64,கருப்புப் பிரதிகள்,2013,கவிதை,-,40,-,paperback
"""",7.மெல்ல முகிழ்க்கும் உரையாடல்,,,,தமிழ்,95,கருப்புப் பிரதிகள்,2013,கட்டுரை,இலக்கியம்,70,-,paperback
"""",8.உள்ஒதுக்கீடு: தொடரும் விவாதம்,,,,தமிழ்,80,கருப்புப் பிரதிகள்,2012,கட்டுரை,"சமூக நீதி,தலித்தியம்",50,-,paperback
"""",9.அருந்ததியர்களாகிய நாங்கள்,,,,தமிழ்,40,கருப்புப் பிரதிகள்,2008,கட்டுரை,"சமூக நீதி,தலித்தியம்",25,-,paperback
"""",10.நமக்கிடையிலான தொலைவு,,,,தமிழ்,64,கருப்புப் பிரதிகள்,2005,கவிதை,-,40,-,paperback
"""",11.வெளிச்சங்களை புதைத்த குழிகள்,,,,தமிழ்,71,கருப்புப் பிரதிகள்,2005,கட்டுரை,"இலக்கியம்,தலித்தியம்",35,-,paperback
Translator,12.ராவ் சாகிப் எல்.சி. குருசாமி (சட்டமேலவை உரைகள்),ராவ் சாகிப் எல்.சி. குருசாமி,மதிவண்ணன்,,தமிழ்,104,கருப்புப் பிரதிகள்,2013,"மொழிபெயர்ப்பு,உரை",தலித்தியம்,120,-,paperback
பிரேம்சந்த்,1.Karambhoomi,,,,Hindi,376,Fingerprint Publishing,2019,Novel,-,199,9789389053838,paperback
"""",2.Godan,,,,English,288,Jaico Publishing House,1991,Novel,-,299,9788172242190,paperback
"""",3.The Complete Short Stories : Volume - 4,,,,English,800,Penguin Random House,-,Short Story,Classics,799,9780143442653,paperback
"""",4.பிரேம்சந்த் கதைகள்,,ச. வீரமணி,,தமிழ்,64,பாரதி புத்தகாலயம்,2015,சிறுகதை,-,40,-,paperback
"""",5.கோதானம்,,சரஸ்வதி ராம்நாத்,,தமிழ்,528,அன்னம் - அகரம் பதிப்பகம்,2009,"நாவல்,மொழிபெயர்ப்பு",-,400,-,paperback
"""",6.பிரேம்சந்த் கதைகள்,,,,தமிழ்,216,தமிழ்ப் புத்தகாலயம் - தாகம்,2003,சிறுகதை,-,60,-,paperback
"""",7.ஒரு நாயின் கதை,,,,தமிழ்,48,பாரதி புத்தகாலயம்,-,சிறுவர் கதை,-,45,-,paperback
மதியழகன் சுப்பையா,1.நான் வீட்டுக்கு போக வேண்டும்,,,,தமிழ்,156,அந்திமழை,-,"சிறுகதை,மொழிபெயர்ப்பு",-,120,9788192460925,paperback
அம்ரிதா பிரிதம்,1.ராதையுமில்லை ருக்மினியுமில்லை,,சரஸ்வதி ராம்நாத்,,தமிழ்,117,நேஷனல் புக் டிரஸ்ட்,-,"நாவல்,மொழிபெயர்ப்பு",-,40,9788123713439,paperback
"AMRITA PRITAM,IMROZ",2.In The Time of Love & Longings,"AMRITA PRITAM,IMROZ",,,English,208,Penguin Random House,2019,-,-,250,9789353490225,paperback
அசதா,1.அகதி (மொழிபெயர்ப்பு கட்டுரைகள்),,,,தமிழ்,160,நூல் வனம்,2024,"கட்டுரை,மொழிபெயர்ப்பு",-,220,9788197698880,paperback
Translator,2.மந்திரவாதியின் சீடன்,இவால்ட் ஃப்ளிஸர்,அசதா,,தமிழ்,288,காலச்சுவடு,2021,"நாவல்,மொழிபெயர்ப்பு",-,390,9789355230270,paperback
Translator,3.நிலத்தின் விளிம்புக்கு,டேவிட் கிராஸ்மன்,அசதா,,தமிழ்,744,காலச்சுவடு,2017,"நாவல்,மொழிபெயர்ப்பு",-,750,9789352441037,paperback
Translator,5.நீல நாயின் கண்கள்,,அசதா,,தமிழ்,-,நாதன் பதிப்பகம்,-,"சிறுகதை,மொழிபெயர்ப்பு",-,160,-,paperback
அவை நாயகன்:Translator,,,,,,,,,,,,,
அவை நாயகன்:Translator,1.இந்தியா அழைக்கிறது,Anand Giridharadas,அவை நாயகன்,,தமிழ்,360,அருட்செல்வர் நா. மகாலிங்கம் மொழிபெயர்ப்பு மையம் வெளியீடு,2019,நாவல்,-,300,-,paperback
அவை நாயகன்:Translator,2.கூண்டுப் பறவை ஏன் பாடுகிறது?,மாயா ஏஞ்சலோ,,,தமிழ்,336,எதிர் வெளியீடு,2014,"மொழிபெயர்ப்பு,தன்வரலாறு",இலக்கியம்,300,9789384646073,paperback
Translator,1.மூன்று காதல் கதைகள் (பரிசல்),இவான் துர்கனேவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,பரிசல்,2025,"நாவல்,மொழிபெயர்ப்பு",-,350,9789348942838,paperback
Translator,2.முதல் ஆசிரியர் (திராவிடன் ஸ்டாக்),சிங்கிஸ் ஐத்மாத்தவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,திராவிடன் ஸ்டாக்,2024,"நாவல்,மொழிபெயர்ப்பு",-,110,-,paperback
Translator,3.அதிகாலையின் அமைதியில் (கதவு பதிப்பகம்),பரீஸ் வஸீலியெவ்,பூ. சோமசுந்தரம்,,தமிழ்,186,கதவு பதிப்பகம்,2024,"நாவல்,மொழிபெயர்ப்பு",-,160,9788196907891,paperback
Translator,4.தத்துவம்: தொடக்கப் பயிற்சி நூல்,,பூ. சோமசுந்தரம்,,தமிழ்,-,சிந்தன் புக்ஸ்,2024,"கட்டுரை,மொழிபெயர்ப்பு",மெய்யியல்,500,-,paperback
Translator,5.மனிதனின் மறுபிறப்பு (சிந்தன் புக்ஸ்),புருனோ பஸேன்ஸ்க்கிப்,பூ. சோமசுந்தரம்,,தமிழ்,464,சிந்தன் புக்ஸ்,2024,"நாவல்,மொழிபெயர்ப்பு",-,550,-,paperback
Translator,6.தந்தையரும் தனயர்களும்,இவான் துர்கனேவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,நூல் வனம்,2024,"நாவல்,மொழிபெயர்ப்பு",-,550,9788194762317,paperback
Translator,7.ஜமீலா (நூல் வனம்),சிங்கிஸ் ஐத்மாத்தவ்,பூ. சோமசுந்தரம்,,தமிழ்,104,நூல் வனம்,2023,"நாவல்,மொழிபெயர்ப்பு",-,180,9788194588627,Hardcover
Translator,8.போர் இல்லாத இருபது நாட்கள்,கான்ஸ்தான்தீன் ஸிமனவ்,பூ. சோமசுந்தரம்,,தமிழ்,284,சிந்தன் புக்ஸ்,2023,"நாவல்,மொழிபெயர்ப்பு",-,300,-,paperback
Translator,9.ஜமீலா (NCBH),சிங்கிஸ் ஐத்மாத்தவ்,பூ. சோமசுந்தரம்,,தமிழ்,-,நியூசெஞ்சுரி புக் ஹவுஸ்,2023,"நாவல்,மொழிபெயர்ப்பு",-,80,-,paperback
