      Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
"                                     """,6.சின்னக்குடை,,,,-,தமிழ் ,144,நீலம் பதிப்பகம்,"2,023",நாவல்,-,180,9789390000000,Paperback 
"                                     """,7.யாம் சில அரிசி வேண்டினோம்,,,,-,தமிழ் ,200,நீலம் பதிப்பகம்,"2,023",நாவல்,-,250,9789390000000,Paperback 
"                                     """,8.அன்றாடம்,,,,-,தமிழ் ,-,நற்றிணை பதிப்பகம்,"2,021",சிறுகதை,-,230,-,Paperback 
"                                     """,9.அம்மா உழைப்பதை நிறுத்திக் கொண்டார்,,,,-,தமிழ் ,-,நற்றிணை பதிப்பகம்,"2,018",சிறுகதை,தலித்தியம்,250,9788190000000,Paperback 
"                                     """,10.மறைத்துப் பேச என்ன இருக்கு?,,,,-,தமிழ் ,164,நியூசெஞ்சுரி புக் ஹவுஸ்,"2,017",கட்டுரை,"தலித்தியம்,இலக்கியம்",135,9788120000000,Paperback 
"                                     """,11.ஞாபக விலங்கு,,,,-,தமிழ் ,120,கருப்புப் பிரதிகள்,"2,016",கவிதை,-,90,9788190000000,Paperback 
"                                     """,12.தேநீர் மேசை,,,,-,தமிழ் ,80,நற்றிணை பதிப்பகம்,"2,016",கட்டுரை,-,70,9789380000000,Paperback 
"                                     """,13.அழகிய பெரியவன் கதைகள்,,,,-,தமிழ் ,704,நற்றிணை பதிப்பகம்,"2,016",சிறுகதை,-,750,9789380000000,Paperback 
"                                     """,14.பெருகும் வேட்கை,,,,-,தமிழ் ,168,உயிர்மை பதிப்பகம்,"2,014","கட்டுரை,சிறுகதை",விளிம்புநிலை மக்கள்,100,9789380000000,Paperback 
"                                     """,15.திசையெங்கும் சுவர்கள் கொண்ட கிராமம்,,,,-,தமிழ் ,142,கருப்புப் பிரதிகள்,"2,010",நாவல்,-,120,-,Paperback 
"                                     """,16.அன்லிமிட்டெட் காலம்,,,,-,தமிழ் ,-,உயிர்மை பதிப்பகம்,"2,023","கட்டுரை,சிறுகதை",-,220,-,Paperback 
"                                     """,17.அழகிய பெரியவன்,,,,-,தமிழ் ,200,கலப்பை பதிப்பகம்,"2,010",சிறுகதை,-,130,-,Paperback 
,,,,,,,,,,,,,,
திலீப் குமார்,1. கடவு ,,,,-,தமிழ் ,220,க்ரியா,"2,010",சிறுகதை,-,290,9788185602653,Paperback 
"                                     """,2.ரமாவும் உமாவும் ,,,,-,தமிழ் ,128,சந்தியா பதிப்பகம்,"2,011",நாவல்,பாலியல்,80,9789381319895,Paperback 
"                                     """,3.ரமாவும் உமாவும் (க்ரியா) ,,,,-,தமிழ் ,228,க்ரியா,"2,017",சிறுகதை,-,195,9789382394303,Paperback 
,,,,,,,,,,,,,,
இமையம்,1.நெஞ்சறுப்பு,,,,-,தமிழ் ,-,க்ரியா,"2,024",நாவல்,-,275,9788196585587,Paperback 
"                                     """,2.திருநீறு சாமி ,,,,-,தமிழ் ,197,க்ரியா,"2,023",சிறுகதை,-,350,9788195458493,Paperback 
"                                     """,3. தாலிமேல சத்தியம்,,,,-,தமிழ் ,-,க்ரியா,"2,022",சிறுகதை,-,350,9788195458431,Paperback 
"                                     """,4. இப்போது உயிரோடிருக்கிறேன்,,,,-,தமிழ் ,256,க்ரியா,"2,022",நாவல்,-,370,9788195458431,Paperback 
"                                     """,5. உப்பு வண்டிக்காரன்,,,,-,தமிழ் ,-,க்ரியா,"2,024",நாவல்,-,350,-,Paperback 
"                                     """,6. வாழ்க வாழ்க,,,,-,தமிழ் ,93,க்ரியா,"2,020",நாவல்,-,150,9789382394488,Paperback 
"                                     """,7.கோவேறு கழுதைகள் (சிறப்புப் பதிப்பு),,,,-,தமிழ் ,-,க்ரியா,"2,019",நாவல்,சமூக நீதி,750,-,Hardcover
"                                     """,8. பெத்தவன் (க்ரியா),,,,-,தமிழ் ,-,க்ரியா,"2,019",நாவல்,"தலித்தியம், சமூக நீதி",80,9789382394389,Paperback 
"                                     """,9. நன்மாறன் கோட்டைக் கதை ,,,,-,தமிழ் ,-,க்ரியா,"2,019",சிறுகதை,-,260,9789382394372,Paperback 
"                                     """,10. வீடியோ மாரியம்மன் ,,,,-,தமிழ் ,227,க்ரியா,"2,018",சிறுகதை,-,285,9789382394310,Paperback 
"                                     """,11. செல்லாத பணம் ,,,,-,தமிழ் ,,க்ரியா,"2,018",நாவல்,-,370,9789382394280,Paperback 
"                                     """,12. ஆறுமுகம் ,,,,-,தமிழ் ,232,க்ரியா,"2,017",நாவல்,-,250,9788185602905,Paperback 
"                                     """,13.செடல் ,,,,-,தமிழ் ,244,க்ரியா,"2,016",நாவல்,"பெண்கள், விளிம்புநிலை மக்கள்",375,9788192130224,Paperback 
"                                     """,14. நறுமணம் ,,,,-,தமிழ் ,184,க்ரியா,"2,016",சிறுகதை,-,260,9789382394198,Paperback 
"                                     """,15. எங் கதெ ,,,,-,தமிழ் ,112,க்ரியா,"2,015",நாவல்,-,160,9789382394150,Paperback 
"                                     """,16. சாவு சோறு ,,,,-,தமிழ் ,160,க்ரியா,"2,014",சிறுகதை,-,250,9789382394112,Paperback 
"                                     """,17. பெத்தவன் ,,,,-,தமிழ் ,40,பாரதி புத்தகாலயம்,"2,013",நாவல்,"சமூக நீதி, தலித்தியம்",40,9789382826491,Paperback 
"                                     """,18. கோவேறு கழுதைகள் ,,,,-,தமிழ் ,176,க்ரியா,"2,013",நாவல்,-,325,9789382394051,Paperback 
"                                     """,19. கொலைச் சேவல் ,,,,-,தமிழ் ,172,க்ரியா,"2,013",சிறுகதை,-,240,9788192130286,Paperback 
"                                     """,20. செத்துப்போகாத சொற்கள் ,,,,-,தமிழ் ,-,மணற்கேணி பதிப்பகம்,-,கட்டுரை,-,110,-,Paperback 
"                                     """,21. மண் பாரம் ,,,,-,தமிழ் ,240,க்ரியா,-,சிறுகதை,"சமூக நீதி, தலித்தியம்",240,9788185602844,Paperback 
,,,,,,,,,,,,,,
அகிலன்,1. புதுவெள்ளம் ,,,,-,தமிழ் ,,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,024",நாவல்,-,650,-,Paperback 
"                                     """,2. கயல்விழி ,,,,-,தமிழ் ,608,தமிழ்ப் புத்தகாலயம் - தாகம்,"2,024",நாவல்,-,600,-,Paperback 
