           Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
"""",3.கொம்மை,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,555,-,paperback 
"""",4.நைவேத்யம்,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,160,-,paperback 
"""",5.பிறகு,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,200,-,paperback 
"""",6.வன அதிகாரியின் காதல்,சுலவோமிர் மிரோசெக்,பூமணி,-,,தமிழ்,208,டிஸ்கவரி புக் பேலஸ்,2018,"சிறுகதை,மொழிபெயர்ப்பு",-,180,,paperback 
"""",7.வரப்புகள்,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,160,-,paperback 
"""",8.வாய்க்கால்,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,80,-,paperback 
"""",9.வெக்கை,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2018,நாவல்,-,200,9789386555304,paperback 
"""",10.அஞ்ஞாடி,-,-,-,,தமிழ்,1066,க்ரியா,2014,நாவல்,-,1100,9788192130217,paperback 
"""",11.கிழிசல்,-,-,-,,தமிழ்,208,காலச்சுவடு,2014,சிறுகதை,-,225,9789382033448,paperback 
"""",12.பூமணி நாவல்கள்,-,-,-,,தமிழ்,728,நற்றிணை பதிப்பகம்,2014,நாவல்,-,590,9789382648901,paperback 
"""",13.பூமணி சிறுகதைகள்,-,-,-,,தமிழ்,496,நற்றிணை பதிப்பகம்,2013,சிறுகதை,-,400,9789382648451,paperback 
"""",14.வெக்கை,-,-,-,,தமிழ்,176,காலச்சுவடு,2012,நாவல்,-,200,9789381969298,paperback 
"""",15.பிறகு,-,-,-,,தமிழ்,256,காலச்சுவடு,2010,நாவல்,-,275,9789380240282,paperback 
"""",16.பிறகு,-,-,-,,தமிழ்,-,நற்றிணை பதிப்பகம்,-,நாவல்,-,130,-,paperback 
"""",17.வயிறுகள்,-,-,-,,தமிழ்,96,நற்றிணை பதிப்பகம்,-,சிறுகதை,-,80,-,paperback 
"""",18.வெக்கை,-,-,-,,தமிழ்,-,நற்றிணை பதிப்பகம்,-,நாவல்,-,100,-,paperback 
,,,,,,,,,,,,,,
சமயவேல்,,,,,,,,,,,,,,
